name,position,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td,tgt,rec_yds,rec_td,snap_pct,rec,age,fumbles,games_played,yards_per_attempt_qb,yards_per_attempt_rb,yards_per_reception_wr
T.J. Hockenson,TE,280,315,0,0,0,0,0,0.0,0,0,0,0,59,367,2,0.6316666666666667,32,22.110000000000003,0,12,0.0,0.0,9.924166666666666
Ronald Jones II,RB,458,449,0,0,0,0,0,0.0,0,172,724,6,40,309,0,0.0,0,22.092624999999998,2,16,0.0,3.916875,0.0
Jamison Crowder,WR,276,359,0,0,0,0,0,0.0,0,0,0,0,122,833,6,0.786875,78,26.141125000000002,0,16,0.0,0.0,10.50625
Jimmy Garoppolo,QB,479,310,329,476,3978,27,13,102.5125,36,46,62,1,0,0,0,0.0,0,27.6855625,5,16,8.579375,0.0,0.0
Ito Smith,RB,145,223,0,0,0,0,0,0.0,0,22,106,1,14,87,0,0.0,0,23.927285714285713,0,7,0.0,4.495714285714286,0.0
Derek Carr,QB,313,419,361,513,4054,21,8,100.03125,29,27,82,2,0,0,0,0.0,0,28.2211875,3,16,7.96,0.0,0.0
Dion Lewis,RB,367,299,0,0,0,0,0,0.0,0,54,209,0,32,164,1,0.0,0,28.908400000000004,1,15,0.0,3.1406666666666667,0.0
Jordan Reed,TE,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0,,0,0,0.0,0.0,
Greg Olsen,TE,296,400,0,0,0,0,0,0.0,0,0,0,0,82,597,2,0.8157142857142857,52,34.23228571428571,0,14,0.0,0.0,9.817142857142857
N'Keal Harry,WR,150,127,0,0,0,0,0,0.0,0,0,0,0,24,105,2,0.4528571428571429,12,21.537285714285712,0,7,0.0,0.0,7.952857142857143
Marquise Goodwin,WR,216,117,0,0,0,0,0,0.0,0,0,0,0,21,186,1,0.45875,12,28.325625000000002,0,8,0.0,0.0,9.9175
Ty Montgomery,RB,258,333,0,0,0,0,0,0.0,0,32,103,0,17,90,0,0.0,0,26.287266666666667,0,15,0.0,2.544666666666666,0.0
Dare Ogunbowale,RB,458,449,0,0,0,0,0,0.0,0,11,17,2,46,286,0,0.0,0,25.183625,1,16,0.0,1.0625,0.0
Kenny Stills,WR,280,294,0,0,0,0,0,0.0,0,0,0,0,55,561,4,0.6884615384615385,40,27.19369230769231,0,13,0.0,0.0,13.254615384615384
Sam Darnold,QB,253,275,273,441,3024,19,13,86.36153846153846,33,33,62,2,0,0,0,0.0,0,22.162692307692307,3,13,7.047692307692308,0.0,0.0
Tre'Quan Smith,WR,302,240,0,0,0,0,0,0.0,0,0,0,0,25,234,5,0.674,18,23.314599999999995,0,10,0.0,0.0,12.203
Deebo Samuel,WR,470,310,0,0,0,0,0,0.0,0,0,0,0,81,802,3,0.718,57,23.295133333333336,1,15,0.0,0.0,14.098
Miles Boykin,WR,412,212,0,0,0,0,0,0.0,0,0,0,0,22,198,3,0.3983333333333334,13,22.80725,0,12,0.0,0.0,9.014166666666666
Jacoby Brissett,QB,349,357,272,447,2942,18,6,88.43333333333334,27,56,228,4,0,0,0,0.0,0,26.45480000000001,5,15,6.790666666666667,0.0,0.0
Matthew Stafford,QB,204,217,187,291,2499,19,5,105.1,18,20,66,0,0,0,0,0.0,0,31.241125,3,8,8.56625,0.0,0.0
Malcolm Brown,RB,333,344,0,0,0,0,0,0.0,0,69,255,5,6,16,0,0.0,0,26.173285714285715,0,14,0.0,2.775000000000001,0.0
Mohamed Sanu,WR,329,391,0,0,0,0,0,0.0,0,0,0,0,89,520,2,0.7453333333333333,59,30.07006666666667,0,15,0.0,0.0,8.301333333333334
